"node","cluster"
"RPL4",1
"RRM2",1
"RPS9",1
"RPS2",1
"PCBP2",1
"RPL7",1
"RPLP0",1
"RPLP2",1
"RPL11",1
"PCBP1",1
"EEF2",1
"RPL14",1
"RPL30",1
"RPL35",1
"RPL18",1
"RPL13A",1
"RPS23",1
"RPL8",1
"NPM1",1
"RPL15",1
"RPL10",1
"RPL27A",1
"RPL32",1
"RPL36AL",1
"EIF5A",1
"PSMC4",1
"MARS",1
"PSMA4",1
"MYBBP1A",1
"PSMA7",1
"RPL37A",1
"PSMB4",1
"RPN1",1
"PPIB",1
"POLR2L",1
"CSNK2B",1
"PRMT5",1
"DDOST",1
"NONO",1
"SEC61A1",1
"RPL37",1
"ARF1",1
"SET",1
"FTSJ3",1
"TUBB",1
"PGK1",1
"GNB1",1
"HARS2",1
"PPAN",1
"DNAJC9",1
"LSM2",1
"CKS1B",1
"CPSF1",1
"NUDC",1
"XAB2",1
"TIMM13",1
"EXOSC3",1
"NDUFV1",2
"NIPSNAP1",2
"UQCRC2",2
"COX5A",2
"NDUFB10",2
"CLPP",2
"NDUFB11",2
"NDUFB7",2
"MRPL17",2
"MRPS24",2
"UQCRQ",2
"MDH2",2
"MRPS12",2
"COX7C",2
"SDHC",2
"NDUFA3",2
"COX7A2L",2
"TIMM8A",2
"NDUFS7",2
"IDH2",2
"ECHS1",2
"MRPL16",2
"CHCHD2",2
"HDAC3",3
"AKT1",3
"STAT3",3
"IRF3",3
"EGR1",3
"GATA2",3
"SPI1",3
"STAT5A",3
"PLK1",4
"FOXM1",4
"CDC25A",4
"CSNK1E",4
"FANCG",4
"MUS81",5
"SIN3B",5
"SMARCD3",5
"USP22",5
"BAZ1B",5
"GNB2",6
"RAB5C",6
"VPS28",6
"MYL6",6
"RAB11B",6
"SURF4",6
"CRK",7
"HSPBP1",7
"ASNA1",7
"CSK",8
"SOS1",8
"NCK2",8
"ARHGAP17",8
"RHOG",8
"RHOBTB1",8
"ARHGEF16",8
"RHOT2",8
"DYNC1H1",9
"KIFC1",9
"TUBGCP2",9
"PCNT",9
"TUBB2B",9
"DYNC1LI1",9
"HRAS",10
"FRS3",10
"HLA-DRB1",11
"HLA-DRA",11
"HLA-DMA",11
"HLA-DQA2",11
"HLA-G",11
"ACTN4",12
"TRIM3",12
"MTA1",13
"SUDS3",13
"SAP30",13
"HCFC1",13
"MTA2",13
"RCOR2",13
"SP1",14
"MYOG",14
"MEF2D",14
"TFAP4",14
"GSPT2",15
"UBE2R2",15
"SH3GL1",15
"SH3GLB2",15
"GABARAP",15
"MSN",16
"IGF2R",16
"CD63",16
"LAMP1",16
"VAMP8",16
"HCK",17
"GNAI2",17
"ARPC1B",17
"ARPC5",17
"GTF2H4",18
"POLR2J2",18
"GTF2F1",18
"PAF1",18
"ZBED1",18
"TNNI1",19
"TNNT3",19
"TCAP",19
"MYL3",19
"TNNI2",19
"TPM2",19
"MYL2",19
"EIF4A2",20
"EIF4G3",20
"KPNA6",20
"RAB5B",21
"RABAC1",21
"SERINC2",21
"SNX15",21
"ADCY1",22
"GRM4",22
"CXCR4",22
"NPW",22
"NPY",22
"NFKB2",23
"NFKBIB",23
"TSC22D3",23
"RIPK1",23
"PIAS1",24
"NR5A1",24
"WAC",24
"EXOSC5",25
"EXOSC7",25
"MPHOSPH6",25
"KHSRP",25
"HINT1",26
"ATP6V1F",26
"VWF",27
"VEGFB",27
"SPARC",27
"PF4",27
"TMSB4X",27
"CAMK2A",28
"SYNGAP1",28
"CD79A",29
"TNFRSF13B",29
"CD22",29
"BAD",30
"HRK",30
"MCL1",30
"BID",30
"BBC3",30
"IRF7",31
"IRF2",31
"ADAR",31
"IFIT2",31
"IFI30",31
"ANAPC2",32
"PHC1",32
"PCGF6",32
"DDX11",33
"INCENP",33
"POLD3",33
"CENPH",33
"ILKAP",34
"STK11",34
"LIMK2",34
"ALOX5AP",35
"PLP2",35
"TBXAS1",35
"HSPB1",36
"ACTA2",36
"ACTA1",36
"AP2A1",37
"ARRB2",37
"FRG1",38
"SF3A2",38
"CTNNBL1",38
"GEMIN4",39
"PIAS3",39
"RELB",40
"USP11",40
"DYRK1B",40
"UGP2",41
"CAB39",41
"GSS",42
"CNDP2",42
"GCLM",42
"PRMT8",43
"DPH5",43
"OR5A2",44
"OR4C46",44
"OR1M1",44
"OR6N1",44
"HBE1",45
"HBD",45
"HBZ",45
"HBQ1",45
"LSS",46
"AGPAT1",46
"PIP5K1C",47
"PLCB2",47
"PLCB3",47
"PPP3CC",48
"PPP1R1B",48
"POR",49
"SLC39A7",49
"TSC2",50
"TMEM115",50
"PIM2",51
"SOCS1",51
"EIF4EBP1",51
"SPN",52
"SIGLEC1",52
"ITGA2B",53
"ITGB4",53
"TBCA",54
"UBL5",54
"CEBPA",55
"DBP",55
"BATF",55
"S100A8",56
"S100A12",56
"HTR4",57
"FSHR",57
"SCTR",57
"TXN2",58
"ALKBH7",58
"COMT",59
"RGS2",59
"ALAS2",60
"SARDH",60
"DDA1",61
"WDTC1",61
"FOXH1",62
"ALX4",62
"DRAP1",62
"TBX5",62
"POU3F4",63
"POU3F1",63
"SIX3",63
